Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Label
2.17,-0.8887658073944738,0.1343638596205759,-0.6714549456999357,Jumping
2.18,-1.0160152896457915,0.1247839425976758,-0.5522513427315071,Jumping
2.19,-1.07825688422524,0.11221030150511947,-0.38665586254029566,Jumping
2.2,-1.0789484574983452,0.10786940160411787,-0.14173061042502197,Jumping
2.21,-1.0284636085616814,0.11221030150511947,-0.03838515891301978,Jumping
2.22,-0.9316433503269829,0.13645946646933535,-0.1701679494316803,Jumping
2.23,-0.8680186092013243,0.1653489037415184,-0.4549670325913205,Jumping
2.24,-0.8126927473529253,0.21250005783860484,-0.7575472555585081,Jumping
2.25,-0.8555702902854347,0.23600079178540664,-1.2391613353816393,Jumping
2.26,-1.0270804620154712,0.20187233739132515,-1.5063682829990812,Jumping
2.27,-1.1287417331619043,0.1430456594225791,-1.404930213981428,Jumping
2.28,-1.3106255039885157,0.0860152158956269,-1.1785585915839132,Jumping
2.29,-1.5423025504786863,0.007280272863666719,-0.9832252843217144,Jumping
2.3,-1.6875329378307333,-0.059479773889668325,-0.6875809976976138,Jumping
2.31,-1.6730098990955284,-0.06876031850560284,-0.43624000446498457,Jumping
2.32,-1.7214200282128775,-0.05334263954687289,-0.3769377487315873,Jumping
2.33,-1.6315155027092294,-0.02175885061199934,-0.4576547079242668,Jumping
2.34,-1.5132564730082767,0.02000360015970591,-0.5359440893968659,Jumping
2.35,-1.3576524865596549,0.061466678524445435,-0.6226432936854582,Jumping
2.36,-1.2380103103124922,0.0860152158956269,-0.7933540269296967,Jumping
2.37,-1.1204428538846443,0.09499638810459575,-0.9133457256651087,Jumping
2.38,-0.9551568416125529,0.09200266403493954,-0.9757691527528952,Jumping
2.39,-0.9032888461296784,0.08496741247124726,-0.9809711050102109,Jumping
2.4,-0.9219613245035132,0.07658498507620966,-0.9133457256651087,Jumping
2.41,-0.9475495356083976,0.07299251619262224,-0.8110406646045697,Jumping
2.42,-0.9925017983602217,0.07643529887272692,-0.7598881340743001,Jumping
2.43,-1.1162934142460141,0.0857158434886613,-0.7191395080586616,Jumping
2.44,-1.1937496208337728,0.09260140884887093,-0.738213333002152,Jumping
2.45,-1.2532249223208018,0.0960441915289756,-0.7815629351464483,Jumping
2.46,-1.296794038526416,0.09215235023842233,-0.8127746486903417,Jumping
2.47,-1.307859210896096,0.08376992284338487,-0.8483213224486645,Jumping
2.48,-1.3113170772616203,0.07553718165183,-0.9072767813649074,Jumping
2.49,-1.301635051438151,0.071495654157794,-0.9410894710374585,Jumping
2.5,-1.249767055955277,0.07763278850058944,-0.981838097053097,Jumping
2.51,-1.1750771424599382,0.08885925376180046,-1.047729492312427,Jumping
2.52,-1.133582746073639,0.09843917078470056,-1.0850101501565217,Jumping
2.53,-1.1218260004308545,0.09828948458121764,-1.0772072217705486,Jumping
2.54,-1.0934714962335499,0.08781145033742074,-1.0598673809128303,Jumping
2.55,-1.0893220565949202,0.07688435748317525,-1.0572664047841724,Jumping
2.56,-1.1176765607922245,0.07119628175082827,-1.0468625002695413,Jumping
