Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Label
1.07,1.795963287887549,1.4700740048530967,1.032479431843364,Walking
1.08,1.8960972660466744,1.7246539536560115,0.9709030588740066,Walking
1.09,1.9400021641625984,1.8511533070984534,0.9428583741552893,Walking
1.1,1.8991783115284937,1.7966004609264004,0.964806388282981,Walking
1.11,1.7643825716989023,1.5609954151398522,1.0532081118528511,Walking
1.12,1.5394662515260986,1.161099334069932,1.200747540155668,Walking
1.13,1.2375237943078137,0.6139896304313698,1.3720639837634847,Walking
1.14,0.886592713928603,-0.01060092719068822,1.5238710814800198,Walking
1.15,0.5364318949198469,-0.6011947835750898,1.600689130926941,Walking
1.17,0.228866529697242,-1.067661149394095,1.5592317709079677,Walking
1.18,0.01026635276216743,-1.3057961822494923,1.4068150061323303,Walking
1.19,-0.12969013824947123,-1.2876119001921413,1.1818478613234893,Walking
1.2,-0.20879598099518004,-1.0448912657744553,0.9251780294413154,Walking
1.21,-0.22558767887109485,-0.6540873257332109,0.684359541095808,Walking
1.22,-0.2046365695947241,-0.22517545546743062,0.485303246298825,Walking
1.23,-0.1993987922756314,0.1329758389664836,0.33124038046361054,Walking
1.24,-0.20964326850268036,0.3930901344825052,0.2238170446497412,Walking
1.25,-0.2246633652265491,0.5630736406707868,0.16406967285769125,Walking
1.26,-0.26363859057156236,0.6782671143993106,0.1290138169592946,Walking
1.27,-0.3644658039640968,0.7751181818786804,0.08358142771497251,Walking
1.28,-0.544706964650522,0.8565521406572527,0.025784990512050732,Walking
1.29,-0.7819474667506028,0.9379860994358246,-0.04310738716653747,Walking
1.3,-1.0455309077202382,1.0376043402717479,-0.14126378368204812,Walking
1.31,-1.2889335007839575,1.1577787260420678,-0.26959869962313504,Walking
1.32,-1.4067834904635435,1.2819062166074642,-0.4079809286982319,Walking
1.33,-1.3782838197567153,1.3807338364843718,-0.5570445246488055,Walking
1.34,-1.2796903643384998,1.4218461263531657,-0.7148263595445455,Walking
1.35,-1.1564485450657305,1.3854775622384636,-0.8562691172563373,Walking
1.36,-1.0278148961997775,1.2740000070173114,-0.9672285220130015,Walking
1.37,-0.9292214407815622,1.1103414685011521,-1.0385595679279997,Walking
1.38,-0.8321685081042562,0.9419392042309008,-1.0812362620651783,Walking
1.39,-0.6868972136364796,0.7903771663876749,-1.111719615020306,Walking
1.4,-0.49541023694141423,0.6570784726977016,-1.1354966303253053,Walking
1.41,-0.2980538686034832,0.5326347337486992,-1.1452513032709462,Walking
1.42,-0.14276147370608935,0.4148559294841954,-1.1226936220841517,Walking
1.43,-0.0478883807071706,0.29760684126223186,-1.046485239696333,Walking
1.44,0.0074163856914846345,0.1941145577271339,-0.9154068219892847,Walking
1.45,0.04469703602149735,0.11457808925019843,-0.74695581355925,Walking
1.46,0.07526100720114413,0.05765338020109947,-0.5688110988894848,Walking
1.47,0.10167326959403951,0.014461757210095629,-0.40353035916678326,Walking
1.48,0.09615819818158308,-0.017004956958711848,-0.27214710793018365,Walking
1.49,0.029915720322469575,-0.03360799709803239,-0.18186151314768692,Walking
1.5,-0.10179897402530264,-0.030050202782463658,-0.13150301406581627,Walking
1.51,-0.2835036313155919,-0.00743844335462712,-0.1193706395896755,Walking
1.52,-0.5052618798695312,0.02813949980105969,-0.14991495925071327,Walking
1.53,-0.7378885163605878,0.07552932008443458,-0.21606383516334002,Walking
1.54,-0.95772111148839,0.12108489974289405,-0.30817843112314436,Walking
1.55,-1.1595295905475498,0.14369665917073057,-0.42029620329210343,Walking
1.56,-1.352094933161252,0.1218755207019093,-0.5441195829958315,Walking
1.57,-1.5315658324772223,0.051194006965944755,-0.6666626618754441,Walking
1.58,-1.6994828112363702,-0.07280698424600911,-0.7855477384004415,Walking
1.59,-1.8335082896955073,-0.22620326271415045,-0.8965071431571057,Walking
1.6,-1.9074533812591687,-0.370807836118042,-1.005637546736462,Walking
