Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Label
0.754,0.725024146513969,-1.734533442411181,-0.2736075903925966,Walking
0.764,0.7861350221673847,-1.6957225490083354,-0.1195867719389366,Walking
0.775,0.8503797888799498,-1.6220476327181883,-0.08734728879308096,Walking
0.785,0.9522312483023092,-1.5635023867376254,0.06280920805063057,Walking
0.795,1.1849226594441615,-1.5108774465303774,0.4691150230394969,Walking
0.805,1.5531548588942303,-1.4023385073529284,1.0476591726432087,Walking
0.815,1.9448912412879205,-1.3003776857013858,1.6278594600797556,Walking
0.825,2.310773022443627,-1.1997324875550242,2.0350485485794674,Walking
0.835,2.605358782003682,-1.032648302397012,2.1774764022032813,Walking
0.845,2.768321117079457,-0.8366204001250137,2.0747958565675084,Walking
0.855,2.7863409906695673,-0.6734830854825455,1.9224311759466832,Walking
0.865,2.7307144243696633,-0.5083723355823051,1.8628102139646217,Walking
0.875,2.673520912540184,-0.34391939743465544,1.9036616138412195,Walking
0.885,2.6288629649473036,-0.20459486823596662,1.9423048299407046,Walking
0.895,2.5959571088262337,-0.054679569820569186,1.9345761867208071,Walking
0.906,2.5583504161164394,0.10030087908977578,1.8462488356362714,Walking
0.916,2.5324958148784558,0.2601491349692912,1.6828432361298793,Walking
0.926,2.524661087230582,0.4252598848695315,1.496251706963797,Walking
0.936,2.519960250641858,0.5957646911410146,1.3162847291290543,Walking
0.946,2.513692468523559,0.7635724692268763,1.1705445998395696,Walking
0.956,2.5183933051122827,0.9026338737245287,1.0822172487550334,Walking
0.966,2.526228032760157,1.010515001149387,1.0413658488784354,Walking
0.976,2.5387635969967546,1.0828742939343527,1.0060349084446212,Walking
0.986,2.5920397450022965,1.1197117520794264,0.9596630491252396,Walking
0.996,2.697808568248593,1.1381304811519632,0.8834807088148272,Walking
1.01,2.8278650472032982,1.169705445276312,0.7686551524049301,Walking
1.02,2.9563545806284286,1.2321975617724186,0.6394764014437959,Walking
1.03,3.0691746587578117,1.3269224541454647,0.5445244990279194,Walking
1.04,3.1600574994731474,1.4420395108488198,0.5213385693682288,Walking
1.05,3.2141171202434773,1.5637346850780804,0.5842718070159608,Walking
1.06,3.239188248716673,1.6742470595133012,0.7145546498656518,Walking
1.07,3.248589921894121,1.7623938343604415,0.8625029629322499,Walking
1.08,3.241538667011035,1.8406734329187227,0.97622442745359,Walking
1.09,3.210983229184327,1.9222420902399568,1.0181799192187446,Walking
1.1,3.153789717354848,2.0031529358086004,0.9994103571132806,Walking
1.11,3.0683911859930246,2.071565358078023,0.9497262221282291,Walking
1.12,2.9406851253326813,2.120243427769727,0.8890011682576108,Walking
1.13,2.7659706987850954,2.141293403852626,0.8216515630556518,Walking
1.14,2.55521652505729,2.1255059217904515,0.7509896821880231,Walking
1.15,2.340544987505547,2.0623559935417544,0.6748073418776105,Walking
1.16,2.133708177601679,1.963026418900574,0.5975209096786415,Walking
1.17,1.9433242957583456,1.8446203034342659,0.5091935585941052,Walking
1.18,1.7913305793895937,1.7163470116790995,0.3811188995215278,Walking
1.19,1.688695647202447,1.567681555593624,0.2469717350618884,Walking
1.2,1.6072144796645595,1.4130957937348334,0.12088444138871308,Walking
1.21,1.512414275125286,1.2683772081649016,0.005948475789960437,Walking
1.22,1.4113462884677144,1.1453664104304597,-0.06504463264423553,Walking
1.23,1.2977427375735442,1.033538412490058,-0.07851455368462727,Walking
1.24,1.172387095207563,0.9355244613540588,-0.06283644886712213,Walking
1.25,1.0540827077246688,0.8473776865069185,-0.03898806407429735,Walking
1.26,0.9561486121262461,0.762191064546436,-0.007411036061575718,Walking
1.27,0.89817162753198,0.664440238111473,0.02493885627313564,Walking
1.28,0.8785848084122956,0.545146076779168,0.05938652319610481,Walking
1.29,0.8629153531165479,0.416478097972447,0.09284050741937275,Walking
1.3,0.8276590787011159,0.2914938649802332,0.13877072998333165,Walking
1.31,0.7783002945195109,0.17210103188503958,0.1956314622440018,Walking
1.32,0.6976025997464108,0.05145835645992385,0.22654603512358934,Walking
1.33,0.5824321033226658,-0.06079721911966184,0.21881739190369254,Walking
1.34,0.4664781341341336,-0.16104773021446905,0.20998465679523892,Walking
1.35,0.35365805600475075,-0.2472210698038374,0.1967355541325585,Walking
1.36,0.24553881446409223,-0.3340522211457965,0.14903878454690894,Walking
1.37,0.1437657023182116,-0.4228568077455273,0.08875536743171292,Walking
1.38,0.04974897054372589,-0.49455828877790253,0.05607424753043464,Walking
1.39,-0.054061170790602034,-0.5524457230058752,0.018424714130651082,Walking
1.4,-0.1671946380258998,-0.6169112747597538,-0.029713692210421094,Walking
1.41,-0.2843238163616132,-0.6715096502247735,-0.06846731749876135,Walking
1.42,-0.4004344801031029,-0.7103205436276189,-0.10357743955486447,Walking
1.43,-0.5057332196905269,-0.751104872288236,-0.14575374969773044,Walking
1.44,-0.6001416878474063,-0.7912313891962626,-0.19709402251561706,Walking
1.45,-0.6828764118089536,-0.8214907298154301,-0.2549484374759883,Walking
1.46,-0.7522137514926368,-0.8537235056923694,-0.308276075693277,Walking
1.47,-0.807761970516062,-0.8945078343529865,-0.3621005552604162,Walking
1.48,-0.8646420932396258,-0.9398968452817377,-0.411398258084473,Walking
1.49,-0.9328042237761279,-0.9964686560045292,-0.44559419205685113,Walking
1.5,-1.0080176091957165,-1.0589607725006358,-0.4661799853189908,Walking
1.51,-1.0847979401448797,-1.122768512501924,-0.49330752302082903,Walking
1.52,-1.1576609072701063,-1.1832871937402591,-0.5348765826249888,Walking
1.53,-1.2179883101587345,-1.243148063226004,-0.5815244649165094,Walking
1.54,-1.2673470943403393,-1.2964308151858421,-0.6363183371618015,Walking
1.55,-1.313571987462795,-1.3391885791042308,-0.7085866717272805,Walking
1.56,-1.3590134078204632,-1.379315096012257,-0.790985049370267,Walking
1.57,-1.4091556647668555,-1.425361918693599,-0.8718045756126177,Walking
1.58,-1.4663491765963341,-1.479960294158619,-0.9726081650378445,Walking
1.59,-1.5227592156610255,-1.5463992811702694,-1.0872129030700304,Walking
1.6,-1.5642832721947566,-1.6194163857078259,-1.1953034989597313,Walking
1.61,-1.5893544006679527,-1.6871709962246577,-1.290476219753319,Walking
1.62,-1.6183428929650858,-1.7384803129267246,-1.3920526735005359,Walking
1.63,-1.6481148580270062,-1.7707130888036635,-1.4803800245850718,Walking
1.64,-1.6637843133227537,-1.7805802650925227,-1.546625537898474,Walking
1.65,-1.67396945926499,-1.7759755828243884,-1.6084546836576492,Walking
1.66,-1.6872884962663754,-1.7674240300407107,-1.673596105082495,Walking
1.67,-1.6575165312044546,-1.791105253133972,-1.7089270455163093,Walking
1.68,-1.5556650717820952,-1.8680692281870723,-1.7232802400675464,Walking
1.69,-1.4075887192372805,-1.9798972261274737,-1.7288006995103298,Walking
1.7,-1.2367916565136317,-2.0851471065419696,-1.713343413070536,Walking
1.71,-1.0659945937899826,-2.1548751523165732,-1.6625551861969277,Walking
1.72,-0.9547414611901746,-2.1325095527284925,-1.5709155594467215,Walking
1.73,-0.942989369718364,-1.9792394143748835,-1.4362163490428037,Walking
1.74,-1.013501918549228,-1.718745960349006,-1.277779163034917,Walking
1.75,-1.1271054694433984,-1.4148369306521498,-1.1046575549092261,Walking
1.76,-1.2360081837488444,-1.11816383023379,-0.9330816754275145,Walking
1.77,-1.283016549636087,-0.872142234764906,-0.7995969661010093,Walking
1.78,-1.2461933296910803,-0.7044002378543035,-0.7189982582363701,Walking
1.79,-1.130239360502548,-0.6129644042442103,-0.6752762194495248,Walking
1.8,-0.962419494285091,-0.5761269460991365,-0.6575003400437618,Walking
1.81,-0.7731324743124598,-0.574153510841365,-0.6566170665329164,Walking
1.82,-0.5757756848625186,-0.5998081691923983,-0.6438096006256587,Walking
1.83,-0.36972234772343765,-0.6498018623892838,-0.6038745970165628,Walking
1.84,-0.15505081017169542,-0.7116361671328001,-0.5412725869353978,Walking
1.85,0.06259792388623894,-0.7708392248659539,-0.45636792070538745,Walking
1.86,0.26739770460166024,-0.8057032477532556,-0.3459587318497172,Walking
1.87,0.4335722780130636,-0.7964938832169872,-0.21291565927863468,Walking
1.88,0.5495262472015959,-0.7300548962053367,-0.06515504183309119,Walking
1.89,0.611420595619799,-0.6096753454812572,0.09626319227389864,Walking
1.9,0.6325743602690582,-0.4485114660965606,0.25878551826944507,Walking
1.91,0.6310074147394834,-0.2630085518660118,0.41644983995534224,Walking
1.92,0.6169049049733106,-0.06783580487238121,0.5456285909164764,Walking
1.93,0.5839990488522406,0.12154819869845211,0.6372682176666825,Walking
1.94,0.5432584650832968,0.2861984803718789,0.7024096390915279,Walking
1.95,0.5056517723735027,0.41605052033326306,0.7355323957482289,Walking
1.96,0.478230225605944,0.5134066597166717,0.7178669255313217,Walking
1.97,0.46491118860455866,0.5846476725222335,0.6659746067691568,Walking
1.98,0.46882855242849564,0.6439165114306463,0.5897922664587444,Walking
1.99,0.4750963345467945,0.7035800373906137,0.483799445157301,Walking
2.0,0.48136411666509354,0.7638355939279124,0.3623493374160638,Walking
2.01,0.4829310621946683,0.8256698986714287,0.24641968911761,Walking
2.02,0.4656946613693461,0.8927666974356699,0.15455924398969245,Walking
2.03,0.4382731146017877,0.9565744374369578,0.10266692522752754,Walking
2.04,0.4194697682468907,1.0151196834175211,0.07948099556783665,Walking
2.05,0.4038003129511431,1.0716914941403128,0.07837690367928007,Walking
2.06,0.39988294912720607,1.1230008108423792,0.09935464956185731,Walking
2.07,0.4327888052482761,1.1624695159978153,0.1161368462679193,Walking
2.08,0.4813641166650937,1.1953601036273451,0.11613684626791917,Walking
2.09,0.5174038638453132,1.2282506912568751,0.12607367326492963,Walking
2.1,0.5440419378480841,1.2637725258967674,0.15146778670173366,Walking
2.11,0.5683295935564929,1.3019256075470222,0.17575780824998125,Walking
2.12,0.5863494671466026,1.346656806723183,0.20998465679523892,Walking
2.13,0.6184718505028852,1.3979661234252494,0.25194014856039365,Walking
2.14,0.6733149440380019,1.4499332518799068,0.2817506295514245,Walking
2.15,0.7352092924562049,1.503873815592336,0.298312007879775,Walking
2.16,0.7986705864039827,1.5558409440469934,0.3137692943195689,Walking
2.17,0.8660492441756976,1.601887766728335,0.3148733862081256,Walking
2.19,0.9302940108882625,1.6466189659044959,0.3016242835454451,Walking
2.2,0.9929718320712531,1.6946392238436094,0.2927915484369915,Walking
2.21,1.0572165987838182,1.7426594817827235,0.2872710889942081,Walking
2.22,1.1120596923189352,1.7919953632270182,0.2740219863315277,Walking
2.23,1.155150694382241,1.8354109388979976,0.276230170108641,Walking
2.24,1.1888400232680982,1.8590921619912595,0.3016242835454451,Walking
2.25,1.2115607334469325,1.856460914980897,0.33585113209070294,Walking
2.26,1.2319310253314042,1.8242281391039574,0.3744943481901874,Walking
2.27,1.2640534086876867,1.7650250813708037,0.41976211562101223,Walking
2.28,1.3008766286326938,1.6959548473487904,0.45398896416627005,Walking
2.29,1.3290816481650392,1.6360939778630466,0.4815912613801876,Walking
2.3,1.3541527766382353,1.5867580964187513,0.5102976504826618,Walking
